SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
BZ 005,LOCK BANGLE,LOCK BANGLE,5.78,0.21,0,5.738,,"Premium, Normal, Basic"
BZ 006,LOCK BANGLE,LOCK BANGLE,5.06,0.13,0,5.034,,"Premium, Normal, Basic"
BZ 007,LOCK BANGLE,LOCK BANGLE,5.47,0.21,0,5.428,,"Premium, Normal, Basic"
BZ 008,LOCK BANGLE,LOCK BANGLE,5.1,0.16,0,5.068,,"Premium, Normal, Basic"
BZ 009,LOCK BANGLE,LOCK BANGLE,4.97,0.12,0,4.946,,"Premium, Normal, Basic"
BZ 011,LOCK BANGLE,LOCK BANGLE,4.68,0.14,0,4.652,,"Premium, Normal, Basic"
BZ 012,LOCK BANGLE,LOCK BANGLE,5.15,0.08,0,5.134,,"Premium, Normal, Basic"
BZ 013,LOCK BANGLE,LOCK BANGLE,4.78,0.15,0,4.75,,"Premium, Normal, Basic"
BZ 014,LOCK BANGLE,LOCK BANGLE,5.47,0.12,0,5.446,,"Premium, Normal, Basic"
BZ 015,LOCK BANGLE,LOCK BANGLE,4.93,0.19,0,4.892,,"Premium, Normal, "
BZ 016,LOCK BANGLE,LOCK BANGLE,4.89,0.22,0,4.846,,"Premium, Normal, "
BZ 017,LOCK BANGLE,LOCK BANGLE,5.17,0.14,0,5.142,,"Premium, Normal, "
BZ 018,LOCK BANGLE,LOCK BANGLE,4.9,0.18,0,5.114,,"Premium, Normal, "
BZ 019,LOCK BANGLE,LOCK BANGLE,4.97,0.16,0,4.938,,"Premium, Normal, "
BZ 020,LOCK BANGLE,LOCK BANGLE,5.32,0.2,0,5.28,,"Premium, Normal, "
BZ 021,LOCK BANGLE,LOCK BANGLE,4.97,0.16,0,4.938,,"Premium, Normal, "
BZ 022,LOCK BANGLE,LOCK BANGLE,5.13,0.14,0,5.102,,"Premium, Normal, "
BZ 023,LOCK BANGLE,LOCK BANGLE,4.77,0.2,0,4.73,,"Premium, Normal, "
BZ 024,LOCK BANGLE,LOCK BANGLE,5.41,0.15,0,5.38,,"Premium, Normal, "
BZ 026,LOCK BANGLE,LOCK BANGLE,4.76,0.21,0,4.718,,"Premium, Normal, "
BZ 027,LOCK BANGLE,LOCK BANGLE,6.75,0.28,1.872,6.32,,"Premium, Normal, "
BZ 028,LOCK BANGLE,LOCK BANGLE,6.05,0.2,2.334,5.543,,"Premium, Normal, "
BZ 031,LOCK BANGLE,LOCK BANGLE,6.62,0.25,2.68,6.034,,"Premium, Normal, "
BZ 034,LOCK BANGLE,LOCK BANGLE,4.65,0.16,0,4.618,,"Premium, Normal, "
BZ 035,LOCK BANGLE,LOCK BANGLE,5.29,0.21,0.716,5.105,,"Premium, Normal, "
BZ 036,LOCK BANGLE,LOCK BANGLE,5.77,0.15,0,5.74,,"Premium, Normal, "
BZ 037,LOCK BANGLE,LOCK BANGLE,5.24,0.23,0,5.194,,"Premium, Normal, "
BZ 038,LOCK BANGLE,LOCK BANGLE,5.11,0.2,0,5.07,,"Premium, Normal, "
BZ 039,LOCK BANGLE,LOCK BANGLE,5.67,0.22,0,5.626,,"Premium, Normal, "
BZ 040,LOCK BANGLE,LOCK BANGLE,5.27,0.2,0,5.23,,"Premium, Normal, "
BZ 041,LOCK BANGLE,LOCK BANGLE,4.99,0.17,0,4.956,,"Premium, Normal, "
BZ 043,LOCK BANGLE,LOCK BANGLE,5.2,0.23,0,5.154,,"Premium, Normal, "
BZ 044,LOCK BANGLE,LOCK BANGLE,5.48,0.21,1.288,5.18,,"Premium, Normal, "
BZ 045,LOCK BANGLE,LOCK BANGLE,5.8,0.18,0,5.764,,"Premium, Normal, "
BZ 046,LOCK BANGLE,LOCK BANGLE,5.23,0.2,0,5.19,,"Premium, Normal, "
BZ 049,LOCK BANGLE,LOCK BANGLE,5.18,0.1,0,5.16,,"Premium, Normal, "
