SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
CB 022,CHIAN BRACELET,CHIAN BRACELET,3.65,0.09,0,3.632,,"Premium, Normal, Basic"
CB 029,CHIAN BRACELET,CHIAN BRACELET,3.3,0.11,0,3.278,,"Premium, Normal, Basic"
CB 032,CHIAN BRACELET,CHIAN BRACELET,3.37,0.11,0,3.348,,"Premium, Normal, Basic"
CB 033,CHIAN BRACELET,CHIAN BRACELET,3.44,0.08,0,3.424,,"Premium, Normal, Basic"
CB 044,CHIAN BRACELET,CHIAN BRACELET,3.09,0.09,0,3.072,,"Premium, Normal, Basic"
CB 045,CHIAN BRACELET,CHIAN BRACELET,2.72,0.07,0,2.706,,"Premium, Normal, Basic"
CB 057,CHIAN BRACELET,CHIAN BRACELET,3.33,0.59,0,3.212,,"Premium, Normal, Basic"
CB 058,CHIAN BRACELET,CHIAN BRACELET,3.66,0.12,0,3.636,,"Premium, Normal, Basic"
CB 060,CHIAN BRACELET,CHIAN BRACELET,3.12,0.1,0,3.1,,"Premium, Normal, Basic"
CB 075,CHIAN BRACELET,CHIAN BRACELET,0,0,0,0,,"Premium, Normal, "
CB 076,CHIAN BRACELET,CHIAN BRACELET,2.52,0.04,0,2.512,,"Premium, Normal, "
CB 078,CHIAN BRACELET,CHIAN BRACELET,3.3,0.15,0,3.27,,"Premium, Normal, "
CB 079,CHIAN BRACELET,CHIAN BRACELET,2.39,0.08,0,2.374,,"Premium, Normal, "
CB 092,CHIAN BRACELET,CHIAN BRACELET,2.08,0.03,0,2.074,,"Premium, Normal, "
CB 093,CHIAN BRACELET,CHIAN BRACELET,2.12,0.04,0,2.112,,"Premium, Normal, "
CB 094,CHIAN BRACELET,CHIAN BRACELET,2.44,0.04,0,2.432,,"Premium, Normal, "
CB 095,CHIAN BRACELET,CHIAN BRACELET,2.07,0.03,0,2.064,,"Premium, Normal, "
CB 096,CHIAN BRACELET,CHIAN BRACELET,2.16,0.04,0,2.152,,"Premium, Normal, "
CB 097,CHIAN BRACELET,CHIAN BRACELET,2.31,0.04,0,2.302,,"Premium, Normal, "
CB 098,CHIAN BRACELET,CHIAN BRACELET,2.22,0.09,0,2.202,,"Premium, Normal, "
CB 099,CHIAN BRACELET,CHIAN BRACELET,2.25,0.05,0,2.24,,"Premium, Normal, "
CB 100,CHIAN BRACELET,CHIAN BRACELET,1.85,0.04,0,1.842,,"Premium, Normal, "
CB 101,CHIAN BRACELET,CHIAN BRACELET,2.2,0.04,0,2.192,,"Premium, Normal, "
CB 102,CHIAN BRACELET,CHIAN BRACELET,2.28,0.05,0,2.27,,"Premium, Normal, "
CB 103,CHIAN BRACELET,CHIAN BRACELET,2.21,0.03,0,2.204,,"Premium, Normal, "
CB 104,CHIAN BRACELET,CHIAN BRACELET,2.32,0.04,0,2.312,,"Premium, Normal, "
CB 105,CHIAN BRACELET,CHIAN BRACELET,2.24,0.05,0,2.23,,"Premium, Normal, "
CB 106,CHIAN BRACELET,CHIAN BRACELET,1.93,0.06,0.396,1.839,,"Premium, Normal, "
CB 108,CHIAN BRACELET,CHIAN BRACELET,2.65,0.1,0.809,2.468,,"Premium, Normal, "
CB 110,CHIAN BRACELET,CHIAN BRACELET,2.1,0.03,0.27,2.04,,"Premium, Normal, "
CB 112,CHIAN BRACELET,CHIAN BRACELET,2.21,0.03,0,2.204,,"Premium, Normal, "
CB 113,CHIAN BRACELET,CHIAN BRACELET,2.18,0.04,0,2.172,,"Premium, Normal, "
CB 114,CHIAN BRACELET,CHIAN BRACELET,2.22,0.03,0.589,2.096,,"Premium, Normal, "
CB 115,CHIAN BRACELET,CHIAN BRACELET,2.21,0.07,0.516,2.093,,"Premium, Normal, "
CB 116,CHIAN BRACELET,CHIAN BRACELET,2.27,0.1,0.395,2.171,,"Premium, Normal, "
CB 117,CHIAN BRACELET,CHIAN BRACELET,2.37,0.09,0,2.352,,"Premium, Normal, "
CB 118,CHIAN BRACELET,CHIAN BRACELET,2.61,0.05,0,2.6,,"Premium, Normal, "
CB 119,CHIAN BRACELET,CHIAN BRACELET,2.81,0.1,0,2.79,,"Premium, Normal, "
CB 120,CHIAN BRACELET,CHIAN BRACELET,2.42,0.05,0,2.41,,"Premium, Normal, "
CB 121,CHIAN BRACELET,CHIAN BRACELET,2.33,0.06,0,2.318,,"Premium, Normal, "
CB 122,CHIAN BRACELET,CHIAN BRACELET,2.19,0.03,0,2.184,,"Premium, Normal, "
CB 123,CHIAN BRACELET,CHIAN BRACELET,2.61,0.08,0,2.594,,"Premium, Normal, "
CB 126,CHIAN BRACELET,CHIAN BRACELET,2.32,0.14,0,2.292,,"Premium, Normal, "
CB 127,CHIAN BRACELET,CHIAN BRACELET,2.31,0.09,0,2.292,,"Premium, Normal, "
CB 130,CHIAN BRACELET,CHIAN BRACELET,2.63,0.08,0,2.614,,"Premium, Normal, "
CB 131,CHIAN BRACELET,CHIAN BRACELET,2.53,0.08,0,2.514,,"Premium, Normal, "
CB 132,CHIAN BRACELET,CHIAN BRACELET,2.39,0.1,0,2.37,,"Premium, Normal, "
CB 133,CHIAN BRACELET,CHIAN BRACELET,2.27,0.12,0,2.246,,"Premium, Normal, "
CB 135,CHIAN BRACELET,CHIAN BRACELET,2.41,0.09,0,2.392,,"Premium, Normal, "
CB 136,CHIAN BRACELET,CHIAN BRACELET,3.47,0.18,0,3.434,,"Premium, Normal, "
CB 138,CHIAN BRACELET,CHIAN BRACELET,2.44,0.09,0,2.422,,"Premium, Normal, "
CB 139,CHIAN BRACELET,CHIAN BRACELET,2.84,0.07,0,2.826,,"Premium, Normal, "
CB 142,CHIAN BRACELET,CHIAN BRACELET,2.29,0.04,0,2.282,,"Premium, Normal, "
CB 143,CHIAN BRACELET,CHIAN BRACELET,2.22,0.04,0,2.212,,"Premium, Normal, "
