SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes,,,,,,,
DHP 001,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.28,0.135,0,3.253,,"Premium, Normal, Basic",,,,,,,
DHP 002,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.56,0.128,0,2.534,,"Premium, Normal, Basic",,,,,,,
DHP 003,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.33,0.129,0,3.304,,"Premium, Normal, Basic",,,,,,,
DHP 004,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,5.34,0.094,0,5.321,,"Premium, Normal, Basic",,,,,,,
DHP 005,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.39,0.038,0,3.382,,"Premium, Normal, Basic",,,,,,,
DHP 006,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,4.67,0.052,0,4.66,,"Premium, Normal, Basic",,,,,,,
DHP 011,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.63,0.055,0,3.619,,"Premium, Normal, Basic",,,,,,,double hook pendant
DHP 013,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.92,0.014,0,2.917,,"Premium, Normal, Basic",,,,,,,
DHP 014,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.53,0.105,0,2.509,,"Premium, Normal, Basic",,,,,,,
DHP 051,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.58,0.096,0,3.561,,"Premium, Normal, ",,,,,,,
DHP 052,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.7,0.189,0,3.662,,"Premium, Normal, ",,,,,,,
DHP 086,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.1,0.108,0,3.078,,"Premium, Normal, ",,,,,,,
DHP 088,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.07,0.075,0,3.055,,"Premium, Normal, ",,,,,,,
DHP 089,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.96,0.069,0,2.946,,"Premium, Normal, ",,,,,,,
DHP 090,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.39,0.118,0,3.366,,"Premium, Normal, ",,,,,,,
DHP 091,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.89,0.065,0,2.877,,"Premium, Normal, ",,,,,,,
DHP 093,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.42,0.095,0,3.401,,"Premium, Normal, ",,,,,,,
DHP 094,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.27,0.035,0,2.263,,"Premium, Normal, ",,,,,,,
DHP 095,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.31,0.096,0,3.291,,"Premium, Normal, ",,,,,,,
DHP 097,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.07,0.09,0,3.052,,"Premium, Normal, ",,,,,,,
DHP 098,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.47,0.092,0,2.452,,"Premium, Normal, ",,,,,,,
DHP 099,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.21,0.085,0,3.193,,"Premium, Normal, ",,,,,,,
DHP 100,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.29,0.165,0,3.257,,"Premium, Normal, ",,,,,,,
DHP 101,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.53,0.122,0,3.506,,"Premium, Normal, ",,,,,,,
DHP 102,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.61,0.091,0,2.592,,"Premium, Normal, ",,,,,,,
DHP 103,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.17,0.093,0,3.151,,"Premium, Normal, ",,,,,,,
DHP 104,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.28,0.175,0,3.245,,"Premium, Normal, ",,,,,,,
DHP 105,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.91,0.035,0,2.903,,"Premium, Normal, ",,,,,,,
DHP 110,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.48,0.047,0,2.471,,"Premium, Normal, ",,,,,,,
DHP 111,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.2,0.076,0,3.185,,"Premium, Normal, ",,,,,,,
DHP 112,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.09,0.03,0,2.084,,"Premium, Normal, ",,,,,,,
DHP 113,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.22,0.13,0,3.194,,"Premium, Normal, ",,,,,,,
DHP 114,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.46,0.089,0,2.442,,"Premium, Normal, ",,,,,,,
DHP 115,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.14,0.087,0,3.123,,"Premium, Normal, ",,,,,,,
DHP 116,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.64,0.065,0,2.627,,"Premium, Normal, ",,,,,,,
DHP 117,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.66,0.061,0,2.648,,"Premium, Normal, ",,,,,,,
DHP 118,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,4.22,0.18,0,4.184,,"Premium, Normal, ",,,,,,,
DHP 119,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.3,0.084,0,3.283,,"Premium, Normal, ",,,,,,,
DHP 120,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.58,0.071,0,2.566,,"Premium, Normal, ",,,,,,,
DHP 121,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.13,0.086,0,3.113,,"Premium, Normal, ",,,,,,,
DHP 122,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.72,0.096,0,2.701,,"Premium, Normal, ",,,,,,,
DHP 123,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.12,0.14,0,3.092,,"Premium, Normal, ",,,,,,,
DHP 125,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,4.25,0.143,0.875,4.046,,"Premium, Normal, ",,,,,,,
DHP 126,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.05,0.103,0,3.029,,"Premium, Normal, ",,,,,,,
DHP 128,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.99,0.125,0,2.965,,"Premium, Normal, ",,,,,,,
DHP 130,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.12,0.121,0,3.096,,"Premium, Normal, ",,,,,,,
DHP 131,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.51,0.082,0,3.494,,"Premium, Normal, ",,,,,,,
DHP 132,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.4,0.051,0,2.39,,"Premium, Normal, ",,,,,,,
DHP 134,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.19,0.065,0,3.177,,"Premium, Normal, ",,,,,,,
DHP 135,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3,0.099,0,2.98,,"Premium, Normal, ",,,,,,,
DHP 136,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.23,0.054,0.559,3.107,,"Premium, Normal, ",,,,,,,
