SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
DNP 054,NOSE PIN,NOSE PIN,0.57,0.01,0,0.568,,"Premium, Normal, Basic"
DNP 065,NOSE PIN,NOSE PIN,0.37,0.02,0,0.366,,"Premium, Normal, Basic"
DNP 066,NOSE PIN,NOSE PIN,0.36,0.01,0,0.358,,"Premium, Normal, Basic"
DNP 067,NOSE PIN,NOSE PIN,0.45,0.02,0,0.446,,"Premium, Normal, Basic"
DNP 068,NOSE PIN,NOSE PIN,0.37,0.02,0,0.366,,"Premium, Normal, Basic"
DNP 069,NOSE PIN,NOSE PIN,0.3,0.01,0,0.298,,"Premium, Normal, Basic"
DNP 070,NOSE PIN,NOSE PIN,0.41,0.02,0,0.406,,"Premium, Normal, Basic"
DNP 071,NOSE PIN,NOSE PIN,0.4,0.01,0,0.398,,"Premium, Normal, Basic"
DNP 073,NOSE PIN,NOSE PIN,0.59,0.04,0,0.583,,"Premium, Normal, Basic"
DNP 074,NOSE PIN,NOSE PIN,0.51,0.04,0,0.502,,"Premium, Normal, "
DNP 077,NOSE PIN,NOSE PIN,0.29,0.01,0,0.288,,"Premium, Normal, "
DNP 079,NOSE PIN,NOSE PIN,0.42,0.07,0,0.407,,"Premium, Normal, "
DNP 080,NOSE PIN,NOSE PIN,0.42,0.05,0,0.41,,"Premium, Normal, "
