SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_size,product_image,usertypes
DN 001,NECKLACE,NECKLACE,15.24,0.43,0,15.154,small,,"Premium, Normal, Basic"
DN 007,NECKLACE,NECKLACE,8.96,0.41,0,8.879,small,,"Premium, Normal, Basic"
DN 008,NECKLACE,NECKLACE,13.73,0.23,0,13.684,small,,"Premium, Normal, Basic"
DN 010,NECKLACE,NECKLACE,11.9,0.27,0,11.847,small,,"Premium, Normal, Basic"
DN 011,NECKLACE,NECKLACE,14.09,0.32,0,14.027,small,,"Premium, Normal, Basic"
DN 017,NECKLACE,NECKLACE,14.63,0.44,0,14.543,small,,"Premium, Normal, Basic"
DN 021,NECKLACE,NECKLACE,18.68,0.69,7.395,17.063,small,,"Premium, Normal, Basic"
DN 025,NECKLACE,NECKLACE,13.07,0.57,0,12.956,small,,"Premium, Normal, Basic"
DN 026,NECKLACE,NECKLACE,11.5,0.5,0,11.4,small,,"Premium, Normal, Basic"
DN 027,NECKLACE,NECKLACE,4.5,3.52,0,3.796,small,,"Premium, Normal, "
DN 028,NECKLACE,NECKLACE,10,0.62,0,9.876,small,,"Premium, Normal, "
DN 029,NECKLACE,NECKLACE,15.6,0.82,0,15.437,small,,"Premium, Normal, "
DN 030,NECKLACE,NECKLACE,6.45,0.27,0,6.397,small,,"Premium, Normal, "
DN 031,NECKLACE,NECKLACE,15.11,0.6,0,14.99,small,,"Premium, Normal, "
DN 032,NECKLACE,NECKLACE,12.22,0.31,0,12.158,small,,"Premium, Normal, "
DN 033,NECKLACE,NECKLACE,11.25,0.54,0,11.142,small,,"Premium, Normal, "
DN 034,NECKLACE,NECKLACE,6.58,0.15,0,6.55,small,,"Premium, Normal, "
DN 035,NECKLACE,NECKLACE,10.57,0.38,0,10.493,small,,"Premium, Normal, "
DN 036,NECKLACE,NECKLACE,12.8,0.48,0,12.704,small,,"Premium, Normal, "
DN 037,NECKLACE,NECKLACE,11.95,0.85,0,11.78,small,,"Premium, Normal, "
DN 038,NECKLACE,NECKLACE,10.46,0.69,0,10.322,small,,"Premium, Normal, "
DN 039,NECKLACE,NECKLACE,11.89,0.72,0,11.747,small,,"Premium, Normal, "
DN 040,NECKLACE,NECKLACE,10.92,0.7,0,10.781,small,,"Premium, Normal, "
DN 041,NECKLACE,NECKLACE,13.33,0.28,0,13.275,small,,"Premium, Normal, "
DN 042,NECKLACE,NECKLACE,13.84,0.64,0,13.712,small,,"Premium, Normal, "
DN 045,NECKLACE,NECKLACE,5.45,0.26,0,5.398,small,,"Premium, Normal, "
DN 046,NECKLACE,NECKLACE,5.01,0.22,0,4.967,small,,"Premium, Normal, "
DN 047,NECKLACE,NECKLACE,5.03,0.2,0,4.989,small,,"Premium, Normal, "
DN 049,NECKLACE,NECKLACE,4.94,0.21,0,4.897,small,,"Premium, Normal, "
DN 050,NECKLACE,NECKLACE,6.37,0.25,0,6.32,small,,"Premium, Normal, "
DN 051,NECKLACE,NECKLACE,4.36,0.16,0,4.329,small,,"Premium, Normal, "
DN 052,NECKLACE,NECKLACE,5.65,0.27,0,5.596,small,,"Premium, Normal, "
DN 053,NECKLACE,NECKLACE,4.69,0.21,0,4.647,small,,"Premium, Normal, "
DN 054,NECKLACE,NECKLACE,6.02,0.21,0,5.978,small,,"Premium, Normal, "
DN 055,NECKLACE,NECKLACE,5.71,0.25,0,5.659,small,,"Premium, Normal, "
DN 056,NECKLACE,NECKLACE,6.09,0.32,0,6.025,small,,"Premium, Normal, "
DN 057,NECKLACE,NECKLACE,6.1,0.21,0,6.059,small,,"Premium, Normal, "
DN 058,NECKLACE,NECKLACE,5.11,0.18,0,5.074,small,,"Premium, Normal, "
DN 059,NECKLACE,NECKLACE,12.98,0.52,0,12.877,small,,"Premium, Normal, "
DN 060,NECKLACE,NECKLACE,4.12,0.17,0,4.086,small,,"Premium, Normal, "
DN 061,NECKLACE,NECKLACE,12.9,1.09,0,12.683,small,,"Premium, Normal, "
DN 065,NECKLACE,NECKLACE,5.03,0.2,0,4.991,small,,"Premium, Normal, "
DN 066,NECKLACE,NECKLACE,5.76,0.2,0,5.72,small,,"Premium, Normal, "
DN 067,NECKLACE,NECKLACE,4.96,0.19,0,4.922,small,,"Premium, Normal, "
