SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
HC 005,HAND SET,HAND SET,3.69,0.13,0,3.664,,"Premium, Normal, Basic"
HC 006,HAND SET,HAND SET,3.7,0.13,0,3.674,,"Premium, Normal, Basic"
HC 007,HAND SET,HAND SET,3.98,0.12,0,3.956,,"Premium, Normal, Basic"
HC 008,HAND SET,HAND SET,4.02,0.11,0,3.998,,"Premium, Normal, Basic"
HC 009,HAND SET,HAND SET,3.47,0.1,0,3.45,,"Premium, Normal, Basic"
HC 010,HAND SET,HAND SET,4.15,0.1,0,4.13,,"Premium, Normal, Basic"
HC 011,HAND SET,HAND SET,3.84,0.1,0,3.82,,"Premium, Normal, Basic"
HC 012,HAND SET,HAND SET,3.74,0.11,0,3.718,,"Premium, Normal, Basic"
HC 013,HAND SET,HAND SET,3.86,0.13,0,3.834,,"Premium, Normal, Basic"
HC 014,HAND SET,HAND SET,3.74,0.11,0,3.718,,"Premium, Normal, "
HC 015,HAND SET,HAND SET,3.27,0.15,0,3.24,,"Premium, Normal, "
HC 016,HAND SET,HAND SET,3.81,0.15,0,3.78,,"Premium, Normal, "
