SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
PB 001,PIPE BANGLE,PIPE BANGLE,4.4,0.08,0,4.384,,"Premium, Normal, Basic"
PB 002,PIPE BANGLE,PIPE BANGLE,4.07,0.05,0,4.06,,"Premium, Normal, Basic"
PB 003,PIPE BANGLE,PIPE BANGLE,4.19,0.024,0,4.185,,"Premium, Normal, Basic"
PB 004,PIPE BANGLE,PIPE BANGLE,4.41,0.097,0,4.391,,"Premium, Normal, Basic"
PB 008,PIPE BANGLE,PIPE BANGLE,4.21,0.051,0,4.2,,"Premium, Normal, Basic"
PB 010,PIPE BANGLE,PIPE BANGLE,4.16,0.057,0,4.149,,"Premium, Normal, Basic"
PB 014,PIPE BANGLE,PIPE BANGLE,4.3,0.119,0,4.276,,"Premium, Normal, Basic"
PB 015,PIPE BANGLE,PIPE BANGLE,3.68,0.085,0,3.663,,"Premium, Normal, Basic"
PB 019,PIPE BANGLE,PIPE BANGLE,4.36,0.077,0,4.345,,"Premium, Normal, Basic"
PB 020,PIPE BANGLE,PIPE BANGLE,4.37,0.052,0,4.36,,"Premium, Normal, "
PB 022,PIPE BANGLE,PIPE BANGLE,4.12,0.059,0,4.108,,"Premium, Normal, "
PB 023,PIPE BANGLE,PIPE BANGLE,4.33,0.071,0,4.316,,"Premium, Normal, "
PB 024,PIPE BANGLE,PIPE BANGLE,3.91,0.055,0,3.899,,"Premium, Normal, "
PB 026,PIPE BANGLE,PIPE BANGLE,4.1,0.084,0,4.083,,"Premium, Normal, "
PB 031,PIPE BANGLE,PIPE BANGLE,4.29,0.112,0,4.268,,"Premium, Normal, "
PB 035,PIPE BANGLE,PIPE BANGLE,4.36,0.088,0,4.342,,"Premium, Normal, "
PB 038,PIPE BANGLE,PIPE BANGLE,4.27,0.07,0,4.256,,"Premium, Normal, "
PB 039,PIPE BANGLE,PIPE BANGLE,4.66,0.055,0,4.649,,"Premium, Normal, "
PB 048,PIPE BANGLE,PIPE BANGLE,3.99,0.076,0,3.9748,,"Premium, Normal, "
PB 049,PIPE BANGLE,PIPE BANGLE,4.28,0.077,0,4.2646,,"Premium, Normal, "
PB 053,PIPE BANGLE,PIPE BANGLE,3.7,0.069,0,3.6862,,"Premium, Normal, "
PB 054,PIPE BANGLE,PIPE BANGLE,4.48,0.104,0,4.4592,,"Premium, Normal, "
PB 055,PIPE BANGLE,PIPE BANGLE,4,0.097,0,3.9806,,"Premium, Normal, "
