SKU,product_name,category,gross_weight, diamond_weight ,colour_stones,net_weight,product_size,product_image,usertypes
PB 001,PIPE BANGLE,PIPE BANGLE,4.4, 0.08 ,0,4.384,small,,"Premium, Normal, Basic"
PB 002,PIPE BANGLE,PIPE BANGLE,4.07, 0.05 ,0,4.06,small,,"Premium, Normal, Basic"
PB 003,PIPE BANGLE,PIPE BANGLE,4.19, 0.02 ,0,4.185,small,,"Premium, Normal, Basic"
PB 004,PIPE BANGLE,PIPE BANGLE,4.41, 0.10 ,0,4.391,small,,"Premium, Normal, Basic"
PB 008,PIPE BANGLE,PIPE BANGLE,4.21, 0.05 ,0,4.2,small,,"Premium, Normal, Basic"
PB 010,PIPE BANGLE,PIPE BANGLE,4.16, 0.06 ,0,4.149,small,,"Premium, Normal, Basic"
PB 014,PIPE BANGLE,PIPE BANGLE,4.3, 0.12 ,0,4.276,small,,"Premium, Normal, Basic"
PB 015,PIPE BANGLE,PIPE BANGLE,3.68, 0.09 ,0,3.663,small,,"Premium, Normal, Basic"
PB 019,PIPE BANGLE,PIPE BANGLE,4.36, 0.08 ,0,4.345,small,,"Premium, Normal, Basic"
PB 020,PIPE BANGLE,PIPE BANGLE,4.37, 0.05 ,0,4.36,small,,"Premium, Normal, "
PB 022,PIPE BANGLE,PIPE BANGLE,4.12, 0.06 ,0,4.108,small,,"Premium, Normal, "
PB 023,PIPE BANGLE,PIPE BANGLE,4.33, 0.07 ,0,4.316,small,,"Premium, Normal, "
PB 024,PIPE BANGLE,PIPE BANGLE,3.91, 0.06 ,0,3.899,small,,"Premium, Normal, "
PB 026,PIPE BANGLE,PIPE BANGLE,4.1, 0.08 ,0,4.083,small,,"Premium, Normal, "
PB 031,PIPE BANGLE,PIPE BANGLE,4.29, 0.11 ,0,4.268,small,,"Premium, Normal, "
PB 035,PIPE BANGLE,PIPE BANGLE,4.36, 0.09 ,0,4.342,small,,"Premium, Normal, "
PB 038,PIPE BANGLE,PIPE BANGLE,4.27, 0.07 ,0,4.256,small,,"Premium, Normal, "
PB 039,PIPE BANGLE,PIPE BANGLE,4.66, 0.06 ,0,4.649,small,,"Premium, Normal, "
PB 048,PIPE BANGLE,PIPE BANGLE,3.99, 0.08 ,0,3.9748,small,,"Premium, Normal, "
PB 049,PIPE BANGLE,PIPE BANGLE,4.28, 0.08 ,0,4.2646,small,,"Premium, Normal, "
PB 053,PIPE BANGLE,PIPE BANGLE,3.7, 0.07 ,0,3.6862,small,,"Premium, Normal, "
PB 054,PIPE BANGLE,PIPE BANGLE,4.48, 0.10 ,0,4.4592,small,,"Premium, Normal, "
PB 055,PIPE BANGLE,PIPE BANGLE,4, 0.10 ,0,3.9806,small,,"Premium, Normal, "
PB 057,PIPE BANGLE,PIPE BANGLE,4.7, 0.11 ,0,4.6788,small,,"Premium, Normal, "
PB 060,PIPE BANGLE,PIPE BANGLE,4.11, 0.13 ,0,4.0842,small,,"Premium, Normal, "
PB 064,PIPE BANGLE,PIPE BANGLE,4.86, 0.11 ,0,4.839,small,,"Premium, Normal, "
PB 067,PIPE BANGLE,PIPE BANGLE,4.28, 0.08 ,0,4.265,small,,"Premium, Normal, "
PB 069,PIPE BANGLE,PIPE BANGLE,4.26, 0.09 ,0,4.242,small,,"Premium, Normal, "
PB 084,PIPE BANGLE,PIPE BANGLE,3.82, 0.05 ,0,3.81,small,,"Premium, Normal, "
PB 085,PIPE BANGLE,PIPE BANGLE,4.44, 0.10 ,0,4.421,small,,"Premium, Normal, "
PB 086,PIPE BANGLE,PIPE BANGLE,4.51, 0.06 ,0,4.498,small,,"Premium, Normal, "
PB 087,PIPE BANGLE,PIPE BANGLE,4.46, 0.10 ,0,4.439,small,,"Premium, Normal, "
PB 088,PIPE BANGLE,PIPE BANGLE,4.03, 0.05 ,0,4.02,small,,"Premium, Normal, "
PB 089,PIPE BANGLE,PIPE BANGLE,4.34, 0.07 ,0,4.326,small,,"Premium, Normal, "
PB 090,PIPE BANGLE,PIPE BANGLE,4.13, 0.07 ,0,4.117,small,,"Premium, Normal, "
PB 091,PIPE BANGLE,PIPE BANGLE,3.97, 0.08 ,0,3.955,small,,"Premium, Normal, "
PB 092,PIPE BANGLE,PIPE BANGLE,4.3, 0.05 ,0,4.29,small,,"Premium, Normal, "
PB 093,PIPE BANGLE,PIPE BANGLE,4.75, 0.11 ,0,4.728,small,,"Premium, Normal, "
PB 094,PIPE BANGLE,PIPE BANGLE,4.44, 0.06 ,0,4.428,small,,"Premium, Normal, "
PB 095,PIPE BANGLE,PIPE BANGLE,4.58, 0.09 ,0,4.563,small,,"Premium, Normal, "
PB 096,PIPE BANGLE,PIPE BANGLE,4.8, 0.05 ,0,4.791,small,,"Premium, Normal, "
PB 097,PIPE BANGLE,PIPE BANGLE,4.57, 0.10 ,0,4.55,small,,"Premium, Normal, "
PB 098,PIPE BANGLE,PIPE BANGLE,4.74, 0.12 ,0,4.717,small,,"Premium, Normal, "
PB 099,PIPE BANGLE,PIPE BANGLE,3.79, 0.10 ,0,3.77,small,,"Premium, Normal, "
PB 100,PIPE BANGLE,PIPE BANGLE,3.93, 0.08 ,0,3.913,small,,"Premium, Normal, "
PB 101,PIPE BANGLE,PIPE BANGLE,4.21, 0.14 ,0,4.182,small,,"Premium, Normal, "
PB 102,PIPE BANGLE,PIPE BANGLE,4.62, 0.09 ,0,4.601,small,,"Premium, Normal, "
PB 107,PIPE BANGLE,PIPE BANGLE,4.25, 0.09 ,0,4.233,small,,"Premium, Normal, "
PB 108,PIPE BANGLE,PIPE BANGLE,4.38, 0.10 ,0,4.36,small,,"Premium, Normal, "
PB 109,PIPE BANGLE,PIPE BANGLE,4.46, 0.10 ,0,4.44,small,,"Premium, Normal, "
PB 110,PIPE BANGLE,PIPE BANGLE,4.59, 0.11 ,0,4.569,small,,"Premium, Normal, "
PB 111,PIPE BANGLE,PIPE BANGLE,4.12, 0.07 ,0,4.106,small,,"Premium, Normal, "
PB 112,PIPE BANGLE,PIPE BANGLE,4.29, 0.15 ,0,4.26,small,,"Premium, Normal, "
PB 113,PIPE BANGLE,PIPE BANGLE,4.25, 0.12 ,0,4.227,small,,"Premium, Normal, "
PB 114,PIPE BANGLE,PIPE BANGLE,4.61, 0.12 ,0,4.587,small,,"Premium, Normal, "
PB 115,PIPE BANGLE,PIPE BANGLE,4.53, 0.14 ,0,4.502,small,,"Premium, Normal, "
PB 117,PIPE BANGLE,PIPE BANGLE,4.16, 0.12 ,0,4.136,small,,"Premium, Normal, "
PB 118,PIPE BANGLE,PIPE BANGLE,4.69, 0.16 ,0,4.6574,small,,"Premium, Normal, "
PB 119,PIPE BANGLE,PIPE BANGLE,4.53, 0.16 ,0,4.4982,small,,"Premium, Normal, "
PB 120,PIPE BANGLE,PIPE BANGLE,3.75, 0.10 ,0,3.7306,small,,"Premium, Normal, "
PB 121,PIPE BANGLE,PIPE BANGLE,4.24, 0.07 ,0,4.2256,small,,"Premium, Normal, "
PB 122,PIPE BANGLE,PIPE BANGLE,4.1, 0.13 ,0,4.075,small,,"Premium, Normal, "
PB 124,PIPE BANGLE,PIPE BANGLE,3.87, 0.07 ,0,3.8558,small,,"Premium, Normal, "
PB 125,PIPE BANGLE,PIPE BANGLE,3.97, 0.11 ,0,3.9476,small,,"Premium, Normal, "
PB 129,PIPE BANGLE,PIPE BANGLE,4.35, 0.13 ,0,4.325,small,,"Premium, Normal, "
PB 131,PIPE BANGLE,PIPE BANGLE,4.11, 0.12 ,0,4.0864,small,,"Premium, Normal, "
PB 132,PIPE BANGLE,PIPE BANGLE,4.31, 0.16 ,0,4.279,small,,"Premium, Normal, "
PB 133,PIPE BANGLE,PIPE BANGLE,4.78, 0.10 ,0.522,4.6562,small,,"Premium, Normal, "
PB 134,PIPE BANGLE,PIPE BANGLE,4.4, 0.19 ,0,4.362,small,,"Premium, Normal, "
PB 135,PIPE BANGLE,PIPE BANGLE,4.58, 0.12 ,0,4.557,small,,"Premium, Normal, "
PB 136,PIPE BANGLE,PIPE BANGLE,7.27, 0.14 ,0,7.242,small,,"Premium, Normal, "
PB 137,PIPE BANGLE,PIPE BANGLE,4.52, 0.13 ,0,4.49,small,,"Premium, Normal, "
PB 138,PIPE BANGLE,PIPE BANGLE,4.12, 0.07 ,0,4.106,small,,"Premium, Normal, "
