SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
P 021,PENDANT,PENDANT,0.37,0.04,0,0.362,,"Premium, Normal, Basic"
P 022,PENDANT,PENDANT,0.66,0.07,0,0.646,,"Premium, Normal, Basic"
P 048,PENDANT,PENDANT,0.58,0.04,0,0.572,,"Premium, Normal, Basic"
P 052,PENDANT,PENDANT,0.89,0.04,0,0.882,,"Premium, Normal, Basic"
P 063,PENDANT,PENDANT,0.56,0.02,0,0.556,,"Premium, Normal, Basic"
P 064,PENDANT,PENDANT,0.5,0.02,0,0.496,,"Premium, Normal, Basic"
P 094,PENDANT,PENDANT,0.63,0.07,0,0.617,,"Premium, Normal, Basic"
P 096,PENDANT,PENDANT,0.4,0.05,0,0.39,,"Premium, Normal, Basic"
P 099,PENDANT,PENDANT,0.9,0.04,0,0.891,,"Premium, Normal, Basic"
P 119,PENDANT,PENDANT,1.21,0.05,0,1.2,,"Premium, Normal, "
P 120,PENDANT,PENDANT,0.58,0.01,0,0.578,,"Premium, Normal, "
P 122,PENDANT,PENDANT,1.17,0.09,0,1.151,,"Premium, Normal, "
P 123,PENDANT,PENDANT,1.4,0.07,0,1.387,,"Premium, Normal, "
P 128,PENDANT,PENDANT,0.83,0.07,0,0.817,,"Premium, Normal, "
P 129,PENDANT,PENDANT,1.12,0.07,0,1.107,,"Premium, Normal, "
P 130,PENDANT,PENDANT,0.86,0.05,0,0.849,,"Premium, Normal, "
P 131,PENDANT,PENDANT,0.87,0.04,0,0.863,,"Premium, Normal, "
P 132,PENDANT,PENDANT,0.65,0.05,0,0.64,,"Premium, Normal, "
P 133,PENDANT,PENDANT,1.35,0.06,0,1.338,,"Premium, Normal, "
P 134,PENDANT,PENDANT,0.97,0.05,0,0.961,,"Premium, Normal, "
P 135,PENDANT,PENDANT,0.86,0.07,0,0.847,,"Premium, Normal, "
P 136,PENDANT,PENDANT,1.26,0.11,0,1.239,,"Premium, Normal, "
P 137,PENDANT,PENDANT,0.72,0.03,0,0.715,,"Premium, Normal, "
P 138,PENDANT,PENDANT,1.33,0.06,0,1.319,,"Premium, Normal, "
P 139,PENDANT,PENDANT,0.83,0.04,0,0.821,,"Premium, Normal, "
P 140,PENDANT,PENDANT,1.32,0.07,0,1.306,,"Premium, Normal, "
P 141,PENDANT,PENDANT,1.01,0.07,0,0.995,,"Premium, Normal, "
P 142,PENDANT,PENDANT,0.94,0.06,0,0.929,,"Premium, Normal, "
P 143,PENDANT,PENDANT,0.75,0.04,0,0.742,,"Premium, Normal, "
P 144,PENDANT,PENDANT,0.7,0.04,0,0.692,,"Premium, Normal, "
P 145,PENDANT,PENDANT,1.06,0.11,0,1.038,,"Premium, Normal, "
P 146,PENDANT,PENDANT,0.89,0.07,0,0.877,,"Premium, Normal, "
P 147,PENDANT,PENDANT,1.17,0.07,0,1.157,,"Premium, Normal, "
P 148,PENDANT,PENDANT,0.67,0.04,0,0.662,,"Premium, Normal, "
P 149,PENDANT,PENDANT,1.11,0.05,0,1.101,,"Premium, Normal, "
P 150,PENDANT,PENDANT,0.9,0.07,0,0.887,,"Premium, Normal, "
P 152,PENDANT,PENDANT,0.84,0.05,0,0.831,,"Premium, Normal, "
P 153,PENDANT,PENDANT,1.95,0.09,0,1.932,,"Premium, Normal, "
P 154,PENDANT,PENDANT,0.92,0.04,0,0.913,,"Premium, Normal, "
P 155,PENDANT,PENDANT,0.88,0.04,0,0.872,,"Premium, Normal, "
P 156,PENDANT,PENDANT,0.69,0.04,0,0.683,,"Premium, Normal, "
P 157,PENDANT,PENDANT,0.64,0.04,0,0.633,,"Premium, Normal, "
P 158,PENDANT,PENDANT,0.71,0.04,0,0.703,,"Premium, Normal, "
P 159,PENDANT,PENDANT,0.61,0.04,0,0.602,,"Premium, Normal, "
P 160,PENDANT,PENDANT,0.66,0.04,0,0.652,,"Premium, Normal, "
P 161,PENDANT,PENDANT,0.6,0.04,0,0.592,,"Premium, Normal, "
P 162,PENDANT,PENDANT,0.66,0.04,0,0.653,,"Premium, Normal, "
P 163,PENDANT,PENDANT,0.5,0.04,0,0.493,,"Premium, Normal, "
P 164,PENDANT,PENDANT,1.46,0.01,0,1.459,,"Premium, Normal, "
P 165,PENDANT,PENDANT,0.97,0.1,0,0.951,,"Premium, Normal, "
P 166,PENDANT,PENDANT,0.73,0.09,0,0.713,,"Premium, Normal, "
P 167,PENDANT,PENDANT,0.52,0.05,0,0.51,,"Premium, Normal, "
P 168,PENDANT,PENDANT,0.74,0.06,0,0.729,,"Premium, Normal, "
P 169,PENDANT,PENDANT,0.68,0.03,0,0.675,,"Premium, Normal, "
P 170,PENDANT,PENDANT,0.51,0.01,0,0.508,,"Premium, Normal, "
P 171,PENDANT,PENDANT,0.8,0.01,0,0.799,,"Premium, Normal, "
P 172,PENDANT,PENDANT,0.63,0.04,0,0.621,,"Premium, Normal, "
P 173,PENDANT,PENDANT,0.59,0.03,0,0.584,,"Premium, Normal, "
P 174,PENDANT,PENDANT,0.83,0.01,0,0.828,,"Premium, Normal, "
P 175,PENDANT,PENDANT,0.64,0.05,0,0.631,,"Premium, Normal, "
P 176,PENDANT,PENDANT,0.54,0.04,0,0.533,,"Premium, Normal, "
P 178,PENDANT,PENDANT,0.66,0.04,0,0.653,,"Premium, Normal, "
P 179,PENDANT,PENDANT,0.71,0.06,0,0.698,,"Premium, Normal, "
P 180,PENDANT,PENDANT,0.62,0.06,0,0.609,,"Premium, Normal, "
P 181,PENDANT,PENDANT,0.72,0.03,0,0.714,,"Premium, Normal, "
P 182,PENDANT,PENDANT,0.5,0.03,0,0.495,,"Premium, Normal, "
P 183,PENDANT,PENDANT,0.51,0.04,0,0.502,,"Premium, Normal, "
P 184,PENDANT,PENDANT,0.58,0.03,0,0.575,,"Premium, Normal, "
P 185,PENDANT,PENDANT,0.56,0.04,0,0.553,,"Premium, Normal, "
P 186,PENDANT,PENDANT,0.48,0.03,0,0.475,,"Premium, Normal, "
P 187,PENDANT,PENDANT,0.6,0.03,0,0.594,,"Premium, Normal, "
P 188,PENDANT,PENDANT,0.5,0.03,0,0.494,,"Premium, Normal, "
P 189,PENDANT,PENDANT,0.59,0.08,0,0.575,,"Premium, Normal, "
P 190,PENDANT,PENDANT,0.63,0.06,0,0.618,,"Premium, Normal, "
P 191,PENDANT,PENDANT,0.7,0.08,0,0.684,,"Premium, Normal, "
P 192,PENDANT,PENDANT,0.6,0.05,0,0.59,,"Premium, Normal, "
P 193,PENDANT,PENDANT,0.83,0.11,0,0.808,,"Premium, Normal, "
P 194,PENDANT,PENDANT,0.94,0.15,0,0.911,,"Premium, Normal, "
P 195,PENDANT,PENDANT,0.81,0.07,0,0.797,,"Premium, Normal, "
P196,PENDANT,PENDANT,0.71,0.07,0,0.696,,"Premium, Normal, "
P198,PENDANT,PENDANT,0.6,0.07,0,0.586,,"Premium, Normal, "
P199,PENDANT,PENDANT,0.76,0.07,0,0.747,,"Premium, Normal, "
P201,PENDANT,PENDANT,0.53,0.03,0,0.523,,"Premium, Normal, "
P202,PENDANT,PENDANT,1.05,0.11,0.902,0.848,,"Premium, Normal, "
P203,PENDANT,PENDANT,0.76,0.08,0,0.744,,"Premium, Normal, "
P204,PENDANT,PENDANT,0.73,0.08,0,0.715,,"Premium, Normal, "
P205,PENDANT,PENDANT,0.71,0.03,0,0.704,,"Premium, Normal, "
P206,PENDANT,PENDANT,0.63,0.02,0,0.626,,"Premium, Normal, "
P207,PENDANT,PENDANT,0.65,0.04,0,0.642,,"Premium, Normal, "
P208,PENDANT,PENDANT,0.6,0.04,0,0.593,,"Premium, Normal, "
P209,PENDANT,PENDANT,0.69,0.03,0,0.685,,"Premium, Normal, "
P210,PENDANT,PENDANT,0.7,0.02,0,0.696,,"Premium, Normal, "
P211,PENDANT,PENDANT,0.52,0.03,0,0.514,,"Premium, Normal, "
P212,PENDANT,PENDANT,0.63,0.05,0,0.621,,"Premium, Normal, "
P213,PENDANT,PENDANT,0.56,0.05,0,0.55,,"Premium, Normal, "
P214,PENDANT,PENDANT,0.63,0.03,0,0.624,,"Premium, Normal, "
P215,PENDANT,PENDANT,0.54,0.03,0,0.534,,"Premium, Normal, "
P216,PENDANT,PENDANT,0.66,0.04,0,0.653,,"Premium, Normal, "
P217,PENDANT,PENDANT,0.75,0.03,0,0.745,,"Premium, Normal, "
P218,PENDANT,PENDANT,0.5,0.1,0,0.48,,"Premium, Normal, "
P219,PENDANT,PENDANT,0.55,0.02,0,0.546,,"Premium, Normal, "
P220,PENDANT,PENDANT,0.65,0.06,0,0.638,,"Premium, Normal, "
P221,PENDANT,PENDANT,0.77,0.06,0,0.758,,"Premium, Normal, "
P223,PENDANT,PENDANT,0.76,0.09,0,0.742,,"Premium, Normal, "
P225,PENDANT,PENDANT,0.42,0.05,0,0.41,,"Premium, Normal, "
P226,PENDANT,PENDANT,1,0.14,0,0.973,,"Premium, Normal, "
P227,PENDANT,PENDANT,0.84,0.08,0,0.825,,"Premium, Normal, "
P231,PENDANT,PENDANT,0.9,0.07,0,0.885,,"Premium, Normal, "
P232,PENDANT,PENDANT,0.42,0.05,0,0.409,,"Premium, Normal, "
P233,PENDANT,PENDANT,0.72,0.07,0,0.706,,"Premium, Normal, "
P 236,PENDANT,PENDANT,0.62,0.04,0,0.613,,"Premium, Normal, "
P 237,PENDANT,PENDANT,0.45,0.05,0,0.44,,"Premium, Normal, "
P 238,PENDANT,PENDANT,0.4,0.01,0,0.399,,"Premium, Normal, "
P 239,PENDANT,PENDANT,0.79,0.1,0,0.77,,"Premium, Normal, "
P 240,PENDANT,PENDANT,0.74,0.07,0,0.726,,"Premium, Normal, "
P 241,PENDANT,PENDANT,0.72,0.07,0,0.705,,"Premium, Normal, "
P 243,PENDANT,PENDANT,0.6,0.04,0,0.593,,"Premium, Normal, "
P 244,PENDANT,PENDANT,0.84,0.04,0,0.833,,"Premium, Normal, "
P 245,PENDANT,PENDANT,0.41,0.03,0,0.404,,"Premium, Normal, "
P 246,PENDANT,PENDANT,0.48,0.03,0,0.474,,"Premium, Normal, "
P 247,PENDANT,PENDANT,0.56,0.06,0,0.548,,"Premium, Normal, "
P 248,PENDANT,PENDANT,0.61,0.1,0,0.591,,"Premium, Normal, "
P 249,PENDANT,PENDANT,0.74,0.1,0,0.72,,"Premium, Normal, "
P 250,PENDANT,PENDANT,0.72,0.08,0,0.704,,"Premium, Normal, "
P 252,PENDANT,PENDANT,0.61,0.04,0,0.603,,"Premium, Normal, "
P 253,PENDANT,PENDANT,0.54,0.05,0,0.53,,"Premium, Normal, "
P 254,PENDANT,PENDANT,0.74,0.08,0,0.723,,"Premium, Normal, "
P 255,PENDANT,PENDANT,0.78,0.15,0,0.751,,"Premium, Normal, "
P 256,PENDANT,PENDANT,0.59,0.05,0,0.58,,"Premium, Normal, "
P 257,PENDANT,PENDANT,0.66,0.04,0,0.653,,"Premium, Normal, "
P 258,PENDANT,PENDANT,1.44,0.2,0,1.399,,"Premium, Normal, "
P 259,PENDANT,PENDANT,0.78,0.07,0,0.766,,"Premium, Normal, "
