SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
LR 061,RING,RING,1.13,0.05,0,1.12,,"Premium, Normal, Basic"
LR 063,RING,RING,1.06,0.03,0,1.054,,"Premium, Normal, Basic"
LR 064,RING,RING,1.16,0.05,0,1.15,,"Premium, Normal, Basic"
LR 065,RING,RING,1.05,0.01,0,1.048,,"Premium, Normal, Basic"
LR 066,RING,RING,1.02,0.1,0,1,,"Premium, Normal, Basic"
LR 067,RING,RING,1.11,0.04,0,1.102,,"Premium, Normal, Basic"
LR 068,RING,RING,1.39,0.05,0,1.38,,"Premium, Normal, Basic"
LR 072,RING,RING,1.01,0.02,0,1.006,,"Premium, Normal, Basic"
LR 073,RING,RING,1.3,0.04,0,1.292,,"Premium, Normal, Basic"
LR 074,RING,RING,1.1,0.04,0,1.092,,"Premium, Normal, "
LR 077,RING,RING,1.42,0.15,0,1.39,,"Premium, Normal, "
LR 079,RING,RING,1.65,0.12,0,1.626,,"Premium, Normal, "
LR 080,RING,RING,0.96,0.01,0,0.958,,"Premium, Normal, "
LR 093,RING,RING,1.51,0.03,0,1.504,,"Premium, Normal, "
LR 099,RING,RING,0.94,0.03,0,0.934,,"Premium, Normal, "
LR 100,RING,RING,0.96,0.03,0,0.954,,"Premium, Normal, "
LR 101,RING,RING,1.09,0.04,0,1.082,,"Premium, Normal, "
LR 102,RING,RING,0.94,0.03,0,0.934,,"Premium, Normal, "
LR 103,RING,RING,1.12,0.07,0,1.106,,"Premium, Normal, "
LR 104,RING,RING,1.01,0.04,0,1.002,,"Premium, Normal, "
LR 105,RING,RING,1.1,0.04,0,1.092,,"Premium, Normal, "
LR 106,RING,RING,0.96,0.07,0,0.946,,"Premium, Normal, "
LR 107,RING,RING,1.38,0.04,0,1.372,,"Premium, Normal, "
LR 109,RING,RING,1.01,0.07,0,0.996,,"Premium, Normal, "
LR 279,RING,RING,1.02,0.06,0,1.008,,"Premium, Normal, "
LR 281,RING,RING,1.06,0.06,0,1.048,,"Premium, Normal, "
LR 282,RING,RING,1.03,0.05,0,1.02,,"Premium, Normal, "
LR 289,RING,RING,0.96,0.04,0.396,0.873,,"Premium, Normal, "
LR 334,RING,RING,1.2,0.03,0.809,1.032,,"Premium, Normal, "
LR 336,RING,RING,1.23,0.02,0.27,1.172,,"Premium, Normal, "
LR 340,RING,RING,1.1,0.05,0,1.09,,"Premium, Normal, "
LR 341,RING,RING,1.25,0.05,0,1.24,,"Premium, Normal, "
LR 342,RING,RING,1.33,0.02,0.589,1.208,,"Premium, Normal, "
LR 344,RING,RING,1.34,0.02,0.516,1.233,,"Premium, Normal, "
LR 345,RING,RING,1.27,0.04,0.395,1.183,,"Premium, Normal, "
LR 348,RING,RING,1.34,0.03,0,1.334,,"Premium, Normal, "
LR 350,RING,RING,1.12,0.02,0,1.116,,"Premium, Normal, "
LR 351,RING,RING,1.13,0.05,0,1.12,,"Premium, Normal, "
LR 352,RING,RING,1.21,0.03,0,1.204,,"Premium, Normal, "
LR 353,RING,RING,1.41,0.01,0,1.408,,"Premium, Normal, "
LR 355,RING,RING,1.25,0.09,0,1.232,,"Premium, Normal, "
LR 356,RING,RING,1.37,0,0,1.37,,"Premium, Normal, "
LR 358,RING,RING,1.03,0.02,0,1.026,,"Premium, Normal, "
LR 359,RING,RING,1.44,0.02,0,1.436,,"Premium, Normal, "
LR 360,RING,RING,1.29,0.06,0,1.278,,"Premium, Normal, "
LR 361,RING,RING,1.55,0.01,0,1.548,,"Premium, Normal, "
LR 366,RING,RING,1.18,0.04,0,1.172,,"Premium, Normal, "
LR 367,RING,RING,1.26,0.02,0,1.256,,"Premium, Normal, "
LR 368,RING,RING,1.26,0.04,0,1.252,,"Premium, Normal, "
LR 370,RING,RING,1.24,0.08,0,1.224,,"Premium, Normal, "
LR 371,RING,RING,1.11,0.02,0,1.106,,"Premium, Normal, "
LR 372,RING,RING,0.99,0.04,0,0.982,,"Premium, Normal, "
LR 373,RING,RING,1.43,0.04,0,1.422,,"Premium, Normal, "
LR 374,RING,RING,1.62,0.05,0,1.61,,"Premium, Normal, "
LR 375,RING,RING,1.28,0.05,0,1.27,,"Premium, Normal, "
LR 376,RING,RING,1.32,0.03,0,1.314,,"Premium, Normal, "
LR 377,RING,RING,1.54,0.06,0,1.528,,"Premium, Normal, "
LR 378,RING,RING,1.45,0.03,0,1.444,,"Premium, Normal, "
LR 379,RING,RING,1.56,0.03,0,1.554,,"Premium, Normal, "
LR 380,RING,RING,1.49,0.01,0,1.488,,"Premium, Normal, "
LR 381,RING,RING,1.44,0.03,0,1.434,,"Premium, Normal, "
LR 382,RING,RING,1.31,0.05,0,1.3,,"Premium, Normal, "
LR 383,RING,RING,1.58,0.06,0,1.568,,"Premium, Normal, "
LR 384,RING,RING,1.55,0.08,0,1.534,,"Premium, Normal, "
LR 385,RING,RING,1.8,0.09,0,1.782,,"Premium, Normal, "
LR 386,RING,RING,1.64,0.04,0,1.632,,"Premium, Normal, "
LR 387,RING,RING,1.34,0.05,0,1.33,,"Premium, Normal, "
LR 388,RING,RING,1.32,0.04,0,1.312,,"Premium, Normal, "
LR 389,RING,RING,1.45,0.06,0,1.438,,"Premium, Normal, "
LR 390,RING,RING,1.42,0.06,0,1.408,,"Premium, Normal, "
LR 391,RING,RING,1.41,0.04,0,1.402,,"Premium, Normal, "
LR 392,RING,RING,1.48,0.04,0,1.472,,"Premium, Normal, "
LR 393,RING,RING,1.42,0.03,0,1.414,,"Premium, Normal, "
LR 394,RING,RING,1.51,0.03,0,1.504,,"Premium, Normal, "
LR 395,RING,RING,1.42,0.05,0,1.41,,"Premium, Normal, "
LR 396,RING,RING,1.34,0.04,0,1.332,,"Premium, Normal, "
