SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
SD 021,STUD,STUD,1.42,0.1,0,1.4,,"Premium, Normal, Basic"
SD 022,STUD,STUD,1.16,0.08,0,1.144,,"Premium, Normal, Basic"
SD 023,STUD,STUD,1.48,0.06,0,1.468,,"Premium, Normal, Basic"
SD 024,STUD,STUD,1.08,0.08,0,1.064,,"Premium, Normal, Basic"
SD 025,STUD,STUD,1.14,0.12,0,1.116,,"Premium, Normal, Basic"
SD 028,STUD,STUD,2.08,0.06,0,2.068,,"Premium, Normal, Basic"
SD 032,STUD,STUD,1.5,0.04,0,1.492,,"Premium, Normal, Basic"
SD 034,STUD,STUD,1.53,0.08,0,1.514,,"Premium, Normal, Basic"
SD 035,STUD,STUD,1.44,0.16,0,1.408,,"Premium, Normal, Basic"
SD 036,STUD,STUD,2.19,0.16,0,2.158,,"Premium, Normal, "
SD 045,STUD,STUD,1.77,0.07,0,1.756,,"Premium, Normal, "
SD 047,STUD,STUD,1.37,0.06,0,1.358,,"Premium, Normal, "
SD 137,STUD,STUD,1.04,0.02,0,1.036,,"Premium, Normal, "
SD 138,STUD,STUD,1.13,0.03,0,1.124,,"Premium, Normal, "
SD 139,STUD,STUD,0.89,0.02,0,0.886,,"Premium, Normal, "
SD 140,STUD,STUD,1.04,0.02,0,1.036,,"Premium, Normal, "
SD 142,STUD,STUD,1.03,0.02,0,1.026,,"Premium, Normal, "
SD 143,STUD,STUD,1.15,0.06,0,1.138,,"Premium, Normal, "
SD 144,STUD,STUD,0.94,0.05,0,0.93,,"Premium, Normal, "
SD 145,STUD,STUD,1.12,0.02,0,1.116,,"Premium, Normal, "
SD 146,STUD,STUD,1.61,0.07,0,1.596,,"Premium, Normal, "
SD 147,STUD,STUD,1.94,0.08,0,1.924,,"Premium, Normal, "
SD 148,STUD,STUD,1.38,0.1,0,1.36,,"Premium, Normal, "
SD 149,STUD,STUD,1.59,0.09,0,1.572,,"Premium, Normal, "
SD 150,STUD,STUD,1.22,0.06,0,1.208,,"Premium, Normal, "
SD 151,STUD,STUD,1.75,0.08,0,1.734,,"Premium, Normal, "
SD 152,STUD,STUD,1.75,0.04,0,1.742,,"Premium, Normal, "
SD 153,STUD,STUD,1.55,0.11,0,1.528,,"Premium, Normal, "
SD 154,STUD,STUD,1.39,0.07,0,1.376,,"Premium, Normal, "
SD 155,STUD,STUD,1.48,0.06,0,1.468,,"Premium, Normal, "
SD 156,STUD,STUD,1.3,0.09,0,1.282,,"Premium, Normal, "
SD 157,STUD,STUD,1.47,0.05,0,1.46,,"Premium, Normal, "
SD 158,STUD,STUD,2.01,0.15,0,1.98,,"Premium, Normal, "
SD 159,STUD,STUD,1.39,0.11,0,1.368,,"Premium, Normal, "
SD 161,STUD,STUD,1.31,0.06,0,1.298,,"Premium, Normal, "
SD 162,STUD,STUD,1.34,0.12,0,1.316,,"Premium, Normal, "
SD 163,STUD,STUD,1.18,0.1,0,1.16,,"Premium, Normal, "
SD 164,STUD,STUD,1.39,0.14,0,1.362,,"Premium, Normal, "
SD 165,STUD,STUD,1.11,0.1,0,1.09,,"Premium, Normal, "
SD 167,STUD,STUD,1.01,0.05,0,1,,"Premium, Normal, "
SD 168,STUD,STUD,1.09,0.08,0,1.074,,"Premium, Normal, "
SD 169,STUD,STUD,1.36,0.11,0,1.338,,"Premium, Normal, "
SD 170,STUD,STUD,1.85,0.09,0,1.832,,"Premium, Normal, "
SD 171,STUD,STUD,1.12,0.11,0,1.098,,"Premium, Normal, "
SD 172,STUD,STUD,1.11,0.14,0,1.082,,"Premium, Normal, "
SD 173,STUD,STUD,1.26,0.12,0,1.236,,"Premium, Normal, "
SD 174,STUD,STUD,1.09,0.09,0,1.072,,"Premium, Normal, "
SD 175,STUD,STUD,1.06,0.11,0,1.038,,"Premium, Normal, "
SD 176,STUD,STUD,1.2,0.1,0,1.18,,"Premium, Normal, "
SD 178,STUD,STUD,1.12,0.1,0,1.1,,"Premium, Normal, "
SD 179,STUD,STUD,1.18,0.06,0,1.168,,"Premium, Normal, "
SD 180,STUD,STUD,1.14,0.1,0,1.12,,"Premium, Normal, "
SD 181,STUD,STUD,0.97,0.06,0,0.958,,"Premium, Normal, "
SD 182,STUD,STUD,1.1,0.06,0,1.088,,"Premium, Normal, "
SD 183,STUD,STUD,0.9,0.05,0,0.89,,"Premium, Normal, "
SD 184,STUD,STUD,1.24,0.06,0,1.228,,"Premium, Normal, "
SD 185,STUD,STUD,0.93,0.07,0,0.916,,"Premium, Normal, "
SD 186,STUD,STUD,1,0.06,0,0.988,,"Premium, Normal, "
SD 187,STUD,STUD,0.83,0.1,0,0.81,,"Premium, Normal, "
SD 188,STUD,STUD,1.14,0.09,0,1.122,,"Premium, Normal, "
